name,gender,country_code,country,nationality_long,disciplines,events,birth_date,hobbies,education,family,lang,coach
NARDON Enzo,Male,FRA,France,France,['Water Polo'],['Men'],2003-01-06,,"Studies Computer Science at Sorbonne University (Paris, FRA)",,French,National: Florian Bruzzo (FRA)
SAUDADIER Remi,Male,FRA,France,France,['Water Polo'],['Men'],1986-03-20,,,,French,National: Florian Bruzzo (FRA)
VANPEPERSTRAETE Pierre-Frederic,Male,FRA,France,France,['Water Polo'],['Men'],1992-05-14,,,,French,National: Florian Bruzzo (FRA)
VERNOUX Thomas,Male,FRA,France,France,['Water Polo'],['Men'],2002-03-21,,Studies at Ecole polytechnique universitaire d'Aix-Marseille (FRA),,French,National: Florian Bruzzo (FRA)
APPEL Max,Male,GER,Germany,Germany,['Rowing'],"[""Men's Quadruple Sculls""]",1996-03-19,"Fishing, eating",Studied Mechatronics Engineering,"Wife, Lena Dankel. Son, Theo. Father, Sven. Sister, Emma","English, French, German","National: Dirk Brockmann (GER), Marcus Schwarzrock (GER)"
FINGER Anton,Male,GER,Germany,Germany,['Rowing'],"[""Men's Quadruple Sculls""]",1998-08-01,"Skiing, swimming, cooking",Studies Industrial Engineering at the Technical University Berlin (GER),"Father, Karsten. Mother, Margit. Younger brother, Alexander. Sister, Victoria","English, German, Spanish","National: Dirk Brockmann (GER), Alexander Schmidt (GER)"
FOLLERT Laurits,Male,GER,Germany,Germany,['Rowing'],"[""Men's Eight""]",1996-04-10,,"Studied Physiotherapy at the University of Health Sciences, Bochum (GER)",,"English, German",National: Sabine Tschaege (GER).<br>Club: Markus Wostemeyer (GER)
GREITEN Pia,Female,GER,Germany,Germany,['Rowing'],"[""Women's Quadruple Sculls""]",1997-02-18,"Yoga, cycling, cooking, travelling",Received a Bachelor's degree in Industrial Engineering from the Technical University Dortmund (GER) and now is pursuing a degree in Civil Engineering from Ruhr University Bochum (GER),,German,"National: Marcin Witkowski (POL), Thomas Affeldt (GER)"
JOHANNESEN Torben,Male,GER,Germany,Germany,['Rowing'],"[""Men's Eight""]",1994-09-21,"Supporting German football club Hamburger SV, cooking","Studies Education, with a focus on Sport and Physics, at the University of Hamburg (GER)","Wife, Kristin (married 2021). Daughter, Ella (born July 2022). Father, Thomas. Mother, Doris. Older brother, Eric","English, German, Spanish",National: Sabine Tschaege (GER).<br>Club: Mark Schreyer (GER)
JOHN Max,Male,GER,Germany,Germany,['Rowing'],"[""Men's Eight""]",1997-07-01,,"Studies Sport Science at Ruhr-University, Bochum (GER)",,"English, German",National: Sabine Tschaege (GER)
KRUSE Soenke,Male,GER,Germany,Germany,['Rowing'],"[""Men's Pair""]",2000-09-15,,"Studying Environmental Technology and Resource Management at Ruhr University (Bochum, GER)","Father, Birger. Mother, Elke. Brother, Ole. Sister, Ida","English, German",National: Alexander Weihe (GER)
MENZEL Leonie,Female,GER,Germany,Germany,['Rowing'],"[""Women's Quadruple Sculls""]",1999-05-19,,Studies Medical Biology,,German,"National: Marcin Witkowski (POL), Thomas Affeldt (GER)"
NASKE Tim-Ole,Male,GER,Germany,Germany,['Rowing'],"[""Men's Quadruple Sculls""]",1996-04-26,"Sailing, cycling, listening to music, kitesurfing",Studies Law at the University of Hamburg (GER),,"English, German","National: Dirk Brockmann (GER), Marcus Schwarzrock (GER)"
ROGGENSACK Olaf,Male,GER,Germany,Germany,['Rowing'],"[""Men's Eight""]",1997-05-29,"Football, cycling, keeping houseplants",,"Older brother, Ingo","English, German",National: Sabine Tschaege (GER)
SCHENDEKEHL Tabea,Female,GER,Germany,Germany,['Rowing'],"[""Women's Quadruple Sculls""]",1998-11-29,"Baking, especially when she attended university in the USA - ""American bread simply cannot compare with that of Germany."" (row-to-tokio.de)","Received a Bachelor's degree in Film/Video and Photographic Arts from the University of Washington (Seattle, USA) in 2021",,"English, German","National: Marcin Witkowski (POL), Friedrich Wilhelm Buecker (GER)"
